group,queried_name,exists,name,latest_version,updated_at,newest_version_date,total_downloads,recent_downloads,msrv,license,keywords,categories,description,repository,homepage,documentation,status,error
smolnet,gemini-protocol,True,gemini-protocol,0.1.2,2026-08-06T07:23:57.329304Z,0.1.2,103,103,,,"gemini,gemtext,protocol,smolweb,titan",network-programming,"An implementation of the Gemini protocol (gemini://) and the formats and companions defined with it: the gemtext document grammar, real trust-on-first-use TLS pinning, and titan:// upload. The gemtext",https://github.com/merely-made/smolweb,,,,
smolnet,titanite,True,titanite,0.3.2,2025-02-24T04:15:50.047110Z,0.3.2,4512,207,,,"api,gemini,gemini-protocol,titan,titan-protocol","network-programming,parser-implementations,parsing",Client/Server Library for Gemini protocol with Titan support,https://github.com/YGGverse/titanite,,,,
smolnet,pulsarss,True,pulsarss,0.1.4,2025-02-17T18:06:58.773520Z,0.1.4,3412,20,,,"crawler,gemini,gemini-protocol,gemtext,rss","command-line-utilities,parsing,text-processing,value-formatting",RSS Aggregator for Gemini Protocol,https://github.com/YGGverse/pulsarss,,,,
smolnet,guppy-protocol,True,guppy-protocol,0.1.1,2026-07-11T21:05:56.870747Z,0.1.1,223,223,,,"gemini,guppy,protocol,smolweb,udp",network-programming,"An implementation of the Guppy protocol v0.4.4 (guppy://): async UDP client and server with chunking, acknowledgement, and retransmission, plus a CLI. The smolweb-over-UDP protocol.",https://github.com/mark-ik/serval,,,,
smolnet,nex-protocol,True,nex-protocol,0.1.1,2026-07-11T21:05:44.413744Z,0.1.1,220,220,,,"gemini,gopher,nex,protocol,smolweb",network-programming,"An implementation of the Nex protocol (nex://): async client, directory-serving server, listing parser, and a CLI. The minimal smolweb protocol — plaintext TCP, no TLS, no status codes.",https://github.com/mark-ik/serval,,,,
smolnet,scroll-protocol,True,scroll-protocol,0.1.0,2026-08-06T07:24:02.640768Z,0.1.0,51,51,,,"gemini,protocol,scroll,scrolltext,smolweb",network-programming,"An implementation of the Scroll protocol (scroll://) and the scrolltext format: async client with language negotiation, document metadata, UDC classification, and abstracts, plus a dependency-free tex",https://github.com/merely-made/smolweb,,,,
smolnet,text-protocol,True,text-protocol,0.1.0,2026-08-06T08:05:00.381593Z,0.1.0,14,14,,,"gemini,minimal,protocol,smolweb,text-protocol",network-programming,"An implementation of the Text Protocol (text://): the deliberately minimal smolweb protocol. IRI in, one of exactly three status codes out, everything text/plain. Plain-TCP and TLS transports; the gra",https://github.com/merely-made/smolweb,,,,
smolnet,spartan-protocol,True,spartan-protocol,0.1.1,2026-07-11T21:05:50.448519Z,0.1.1,221,221,,,"gemini,gemtext,protocol,smolweb,spartan",network-programming,"A spec-faithful implementation of the Spartan protocol (spartan://): async client, server with a handler seam, static file serving, and a CLI. Plaintext smolweb with uploads via the =: prompt.",https://github.com/mark-ik/serval,,,,
smolnet,gopher-protocol,True,gopher-protocol,0.1.2,2026-08-06T08:04:56.192985Z,0.1.2,102,102,,,"gemini,gopher,gopher-plus,protocol,smolweb",network-programming,"An implementation of the Gopher protocol (gopher://) and its Gopher+ successor: async client, RFC 1436 menu parser with RFC 4266 URLs, and Gopher+ attribute blocks, alternate views, and ASK forms. The",https://github.com/merely-made/smolweb,,,,
smolnet,gemini,True,gemini,0.0.5,2022-07-15T02:53:37.158599Z,0.0.5,7785,256,,,gemini,network-programming,Small set of types useful for working with the Gemini protocol,https://nest.pijul.com/mat/gemini-projects,,,,
smolnet,scorpion-protocol,True,scorpion-protocol,0.1.0,2026-08-08T07:18:11.102818Z,0.1.0,13,13,,,"gemini,protocol,scorpion,smolnet,smolweb","network-programming,parser-implementations","An implementation of the Scorpion protocol (scorpion://, scorpions://): four subprotocols (receive, send, interactive, meta), range requests, and the binary block document format. A dependency-free wi",https://github.com/merely-made/smolweb,,,,
smolnet,kepler-protocol,True,kepler-protocol,0.1.0,2026-08-05T06:58:11.768754Z,0.1.0,13,13,,,"cache,gemini,kepler,protocol,smolweb",network-programming,"An implementation of the Kepler protocol (kepler:// and keplers://): async client and wire grammar. Gemini's shape plus the small web's only cache model, with declared body lengths, last-updated and e",https://github.com/merely-made/smolweb,,,,
smolnet,gemrendr,True,gemrendr,0.4.0,2026-05-18T04:12:16.766212Z,0.4.0,246,86,,,"gemini-protocol,gemtext,html","command-line-utilities,parsing,web-programming",Turns Gemtext into idiomatic HTML,https://git.average.name/AverageHelper/gemrendr,,,,
smolnet,ngemsite,True,ngemsite,0.1.5,2026-04-07T22:32:36.428627Z,0.1.5,58,15,,,"gemini-protocol,gemtext,nostr,nsite,static",,Nostr Site (nsite) publisher and Gemini gateway,https://codeberg.org/ngemsite/ngemsite,https://npub1yp6q3t5tsuawgzd4wwkwcxkzfa8jjn30fjmh70wnlz3s2lx25zeqrhh0d3.nsite.lol,,,
smolnet,caracal,True,caracal,0.5.0,2026-06-26T14:05:13.544691Z,0.5.0,569,373,,,"gemini,gemini-protocol,nostr",,Nostr client for the Geminispace,https://gitlab.com/cipres/caracal,https://npub1vsgkdknxzhj9853gmpz5hkvr5a9zysqcnaphwfcex5k0te776ckq8ucxqx.nsite.lol,,,
email,io-smtp,True,io-smtp,0.2.3,2026-07-25T22:55:38.697616Z,0.2.3,2029,2029,,,"client,email,io-free,smtp,std","email,no-std",SMTP client library for Rust,https://github.com/pimalaya/io-smtp,https://pimalaya.org,https://docs.rs/io-smtp/latest/io_smtp,,
xmpp,xmpp-core,True,xmpp-core,0.0.0,2017-05-11T01:56:43.911422Z,0.0.0,2184,8,,,"jabber,im,instant-messaging,rfc6120,xmpp",network-programming,"An implementation of the Extensible Messaging and Presence Protocol (XMPP) core spec defined in RFC 6120.  If you are using XMPP for instant messaging, see the xmpp-im crate.",https://bitbucket.org/mellium/xmpp-core/,,https://docs.rs/xmpp-core,,
email,imap-rs,True,imap-rs,0.2.4,2026-06-30T21:30:05.078873Z,0.2.4,220,220,,,"async,email,imap,protocol","email,network-programming","A high-security, memory-safe, and async-native IMAP library for Rust.",https://github.com/YpNo/imap-rs,https://github.com/YpNo/imap-rs,https://docs.rs/imap-rs,,
remotefs,remotefs,True,remotefs,0.3.1,2024-10-22T10:05:13.636141Z,0.3.1,107200,5155,,,"ftp-client,kube-client,s3-client,scp-client,sftp-client",network-programming,a client library to work with all file transfer protocols,https://github.com/remotefs-rs/remotefs-rs,,https://docs.rs/remotefs,,
chat,chat-system,True,chat-system,0.1.3,2026-04-13T23:00:01.455050Z,0.1.3,9124,7694,,,"chat,discord,irc,matrix,messaging","asynchronous,network-programming","A multi-protocol async chat crate — single interface for IRC, Matrix, Discord, Telegram, Slack, Signal, WhatsApp, and more",https://github.com/rexlunae/chat-system,https://github.com/rexlunae/chat-system,https://docs.rs/chat-system,,
feeds,feed-rs,True,feed-rs,2.4.0,2026-07-07T02:45:41.232688Z,2.4.0,1999923,688506,,,"atom,json,jsonfeed,parser,rss",parser-implementations,"A feed parser that handles Atom, RSS 2.0, RSS 1.0, RSS 0.x and JSON Feed",https://github.com/feed-rs/feed-rs.git,https://github.com/feed-rs/feed-rs,,,
